Region,Date,Location,Province,Type of attack,"Confirmed/possible US attack?",Drone strike,Minimum number of strikes,Maximum number of strikes,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link,
Al Bayda',20/05/2013,Radaa,Bayda,"AirstrikePossible drone strike",Possible,1,1,1,2,2,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM128,
Abyan,1/6/13,Mahfed,Abyan,"AirstrikePossible drone strike",Possible,1,1,2,7,8,0,0,0,0,2,3,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM129,
Al Jawf,9/6/13,"Al Makashma/Khab al Shath",Jawf,Drone strike,Confirmed,1,1,1,2,7,1,1,1,1,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM130,
Abyan,27/07/2013,Mahfed,Abyan,Drone strike,Confirmed,1,1,1,4,9,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM131,
Shabwah,30/07/2013,Al Saeed,Shabwa,Drone strike,Confirmed,1,1,1,3,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM132,
Hadramawt,1/8/13,Wadi Ser,Hadhramout,Drone strike,Confirmed,1,1,1,3,5,4,5,1,1,3,3,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM133,
Ma'rib,6/8/13,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM134,
Shabwah,7/8/13,Markha,Shabwa,Drone strike,Confirmed,1,1,1,6,8,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM135,
Ma'rib,8/8/13,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,3,8,2,2,2,2,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM136,
Hadramawt,8/8/13,Al Ayoun,Hadhramout,Drone strike,Confirmed,1,1,1,2,7,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM137,
Hadramawt,8/8/13,Al Qotn,Hadhramout,Drone strike,Confirmed,1,1,1,3,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM138,
Lahij,10/8/13,Al Askariya,Lahj,Drone strike,Confirmed,1,1,1,2,5,0,0,0,0,2,5,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM139,
Al Bayda',30/08/2013,Manaseh,Bayda,Drone strike,Confirmed,1,1,1,4,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM140,
Hadramawt,19/11/2013,Ghayl Bawazir,Hadhramout,"US airstrikePossible drone strike",Confirmed,1,1,1,5,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM141,
Abyan,26/11/2013,Mahfed,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,12,12,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM142,
Hadramawt,9/12/13,Al Qotn,Hadhramout,"AirstrikePossible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM143,
Al Bayda',12/12/13,Radaa,Bayda,Drone strike,Confirmed,1,1,1,12,17,8,16,0,0,5,30,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM144,
Hadramawt,27/12/2013,Shibam,Hadhramout,"AirstrikePossible drone strike",Possible,1,1,1,1,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM145,
Abyan,31/12/2013,Mahfed,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,2,6,0,0,0,0,0,3,www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/#YEM146,
Al Bayda',6/1/14,Radaa,Bayda,Drone strike,Confirmed,1,1,1,0,0,0,0,0,0,0,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM147,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#
Hadramawt,8/1/14,Al Qotn,Hadhramout,Drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM148,
Hadramawt,15/01/2014,Shibam,Hadhramout,"AirstrikePossible drone strike",Possible,1,1,1,1,1,1,1,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM149,
Ma'rib,24/01/2014,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,3,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM150,
Abyan,3/2/14,Mahfed,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,0,4,0,0,0,0,0,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM151,
Ma'rib,2/3/14,Shabwan,Marib,Drone strike,Confirmed,1,1,1,2,3,0,0,0,0,2,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM152,
Abyan,3/3/14,Mahfed,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,1,1,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM153,
Shabwah,3/3/14,Radhum,Shabwa,"AirstrikePossible drone strike",Possible,1,1,1,2,4,0,0,0,0,2,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM154,
Al Jawf,5/3/14,Khalek,Jawf,Drone strike,Confirmed,1,1,1,2,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM155,
Ma'rib,10/3/14,Wadi Abida,Marib,"AirstrikePossible drone strike",Possible,1,1,1,1,4,0,1,0,1,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM156,
Al Jawf,12/3/14,Khab Wal Saaf,Jawf,"AirstrikePossible drone strike",Possible,1,1,1,2,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM157,
Abyan,1/4/14,Mahfed,Abyan,"AirstrikePossible drone strike",Possible,1,1,1,3,3,0,0,0,0,4,4,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM158,
Al Bayda',19/04/2014,Sawmaa,Bayda,Drone strike,Confirmed,1,1,1,13,21,3,8,0,0,1,6,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM159,
Abyan,20/04/2014,Mahfed,Abyan,"Drone strikeYemen Air Force airstrike",Confirmed,1,1,3,24,31,1,1,1,1,1,3,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM160,
Shabwah,21/04/2014,Usylan,Shabwa,"US-Yemen ground operationPossible drone strike",Confirmed,0,1,1,3,4,1,1,1,1,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM161,
Ma'rib,12/5/14,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,4,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM162,
Ma'rib,4/6/14,Wadi Abida,Marib,"AirstrikePossible drone strike",Possible,1,1,1,3,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM163,
Ma'rib,13/06/2014,Mafraq al Saeed,Marib,Drone strike,Confirmed,1,1,1,5,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM164,
Al Bayda',21/06/2014,Unknown,Bayda,"AirstrikePossible drone strike",Possible,1,1,1,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM165,
Ma'rib,9/8/14,Wadi Abida,Marib,Drone strike,Confirmed,1,1,1,3,3,0,0,0,0,2,2,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM166,
Hadramawt,16/08/2014,Unknown,Hadhramout,"AirstrikePossible drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM167,
Shabwah,11/9/14,Unknown,Shabwa,Drone strike,Confirmed,1,1,1,4,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM168,
Shabwah,25/09/2014,"NasabNear Ataq",Shabwa,"AirstrikePossible drone strike",Possible,1,1,1,4,5,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM169,
Al Jawf,26/09/2014,Khasaf,Jawf,"AirstrikePossible drone strike",Possible,1,1,1,2,3,0,0,0,0,3,3,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM170,
Shabwah,15/10/2014,"Bani AssafMayfaa",Shabwa,Drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM171,
Al Bayda',24/10/2014,Radaa,Bayda,"AirstrikePossible drone strike",Possible,1,1,1,3,10,0,10,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM172,
Al Bayda',26/10/2014,Radaa, Bayda,"AirstrikePossible drone strikeYemeni air and ground operations",Possible,1,1,1,12,20,2,10,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM173,
Al Bayda',4/11/14,Radaa, Bayda,Drone strike,Confirmed,1,3,3,9,20,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM174,
Shabwah,12/11/14,Azzan,Shabwa,Drone strike,Confirmed,1,1,1,6,8,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM175,
HAdramawt,26/11/2014,Hagr al Saiaar,Hadhramout,US-Yemen ground operation,Confirmed,0,1,1,7,7,0,0,0,0,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM176,
Shabwah,6/12/14,Nasab,Shabwa,US drone strike,Confirmed,1,1,1,9,10,0,0,0,0,3,3,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM177,
Shabwah,6/12/14,Dafaar,Shabwa,"US ground operationPossible US air and drone strike",Confirmed,0,1,1,11,11,8,8,1,1,0,0,www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/#YEM178,
??,26/01/2015,Hareeb,Shabwa/Mareb border,US drone strike,Confirmed,1,1,1,3,3,1,2,1,1,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM179,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#
Shabwah,31/01/2015,Al Saeed,Shabwa,US drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM180,
Al Bayda',2/2/15,Unknown,Bayda,US drone strike,Confirmed,1,1,1,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM181,
Shabwah,20/02/2015,Al Houta,Shabwa,"AirstrikePossible drone strike",Possible,1,1,1,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM182,
Shabwah,28/02/2015,Bihan region,Shabwa,"AirstrikePossible drone strike",Possible,1,1,1,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM183,
Shabwah,1/3/15,Markha district,Shabwa,"AirstrikePossible drone strike",Possible,1,1,1,2,3,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM184,
Hadramawt,12/4/15,Mukalla,Hadhramout,"US drone strike",Confirmed,1,1,1,3,7,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM185,
Shabwah,17/04/2015,Habban,Shabwa,"US drone strike",Confirmed,1,1,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM186,
Shabwah,19/04/2015,Saeed district,Shabwa,"US drone strike",Confirmed,1,1,1,2,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM187,
Hadramawt,21/04/2015,Mukalla,Hadramout,"US drone strike",Confirmed,1,1,2,5,7,0,1,0,1,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM188,
Shabwah,8/5/15,Mafraq,Shabwa,"AirstrikePossible US drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM189,
Shabwah,10/5/15,Ataq,Shabwa,"AirstrikePossible US drone strike",Possible,1,1,1,1,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM190,
Hadramawt,11/5/15,Mukalla,Hadramout,"US drone strike",Confirmed,1,1,1,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM191,
Shabwah,16/05/2015,Unknown,Shabwa,"US drone strike",Confirmed,1,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM192,
Shabwah,22/05/2015,Unknown,Shabwa,"US drone strike",Confirmed,1,1,1,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM193,
Al Jawf,2/6/15,Unknown,Jawf,"AirstrikePossible US drone strike",Possible,1,1,1,5,20,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM194,
Hadramawt,9/6/15,Mukalla,Hadramout,"US drone strike",Confirmed,1,1,1,3,3,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM195,
Hadramawt,25/06/2015,Mukalla,Hadramout,"US drone strike",Confirmed,1,1,1,4,5,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM196,
Shabwah,26/06/2015,Rafadh,Shabwa,"AirstrikePossible US drone strike",Possible,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM197,
Hadramawt,26/06/2015,Mukalla,Hadramout,"AirstrikePossible US drone strike",Possible,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM198,
Hadramawt,3/7/15,Mukalla,Hadramout,"US drone strike",Confirmed,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM199,
Hadramawt,11/7/15,Mukalla,Hadramout,"US drone strike",Confirmed,1,1,1,3,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM200,
Abyan,29/07/2015,Wadi Dikha,Abyan,"US drone strike",Confirmed,1,1,1,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM201,
Hadramawt,12/8/15,Mukalla-Rukob road,Hadramout,"US drone strike",Confirmed,1,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM202,
Ma'rib,21/08/2015,Harib,Marib,"Airstrike, Possible US drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM203,
Hadramawt,23/08/2015,Mukalla,Hadaramout,"US drone strike",Confirmed,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM204,
Hadramawt,26/08/2015,Mukalla,Hadramout,"US drone strike",Confirmed,1,1,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM205,
Hadramawt,9/9/15,Mukalla,Hadramout,"US drone strike",Confirmed,1,1,1,3,6,0,4,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM206,
??,11/9/15,Unknown,Jawf-Mareb border,"Airstrike, Possible US drone strike",Possible,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM207,
Hadramawt,12/9/15,Mukalla,Hadramout,"US drone strike",Confirmed,1,1,1,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM208,
Ma'rib,21/09/2015,Marib city,Marib,"Airstrike, Possible US drone strike",Possible,1,1,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM209,
??,22/12/2015,Nata district,Bayda-Shabwa border,"US drone strike",Confirmed,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM210,
Shabwah,15/01/2016,Rafadh,Shabwa,"US drone strike",Confirmed,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM211,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#
Hadramawt,19/01/2016,Sayoun,Hadramout,"US drone strike",Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM212,
Shabwah,3/2/16,Rawda city,Shabwa,"US drone strike",Confirmed,1,1,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM213,
Abyan,3/2/16,Maraquesha,Abyan,"US drone strike",Confirmed,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM214,
Lahij,15/02/2016,Huta,Lahij,"Airstrike, Possible US drone strike",Possible,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM215,
Hadramawt,29/02/2016,Unknown,Hadramout,"US drone or air strike",Confirmed,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM216,
Shabwah,4/3/16,Radhum,Shabwa,"US drone strike",Confirmed,1,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM217,
Hadramawt,22/03/2016,Hajr (75km W of Mukalla),Hadramout,US air strike,Confirmed,0,1,1,50,71,0,0,0,0,28,30,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM218,
Abyan,26/03/2016,Al Hudhn and Naqeel al Hayala villages,Abyan,"Airstrike, Possible US drone strike",Possible,1,2,2,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM219,
Abyan,26/03/2016,Zinjibar,Abyan,"Airstrike, Possible US drone strike",Possible,1,1,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM220,
Hadramawt,28/03/2016,Mukalla,Hadramout,Airstrike,Possible,0,1,1,5,5,3,3,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM221,
Shabwah,30/03/2016,Azzan,Shabwa,US drone strike,Confirmed,1,1,1,2,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM222,
Hadramawt,30/03/2016,Mukalla,Hadramout,Airstrike,Possible,0,3,3,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM223,
Hadramawt,3/4/16,Mukalla,Hadramout,"Airstrike, Possible US drone strike",Possible,1,4,5,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM224,
Abyan,5/4/16,Zinjibar,Abyan,Airstrike,Possible,0,2,2,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM225,
Ma'rib,23/04/2016,Alemien,Mareb,US drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM226,
Abyan,25/04/2016,Zinjibar,Abyan,US drone strike,Confirmed,1,1,1,3,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM227,
Shabwah,25/04/2016,Azzan,Shabwa,US drone strike,Confirmed,1,1,1,2,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM228,
Shabwah,28/04/2016,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,4,4,0,0,0,0,1,1,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM229,
Shabwah,19/05/2016,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM230,
Al Bayda',9/6/16,Unknown,Bayda,US drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM231,
Ma'rib,10/6/16,Unknown,Mareb,US drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM232,
Shabwah,12/6/16,Haban,Shabwa,US drone strike,Confirmed,1,1,1,2,3,0,0,0,0,1,1,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM233,
Shabwah,1/7/16,Gardan,Shabwa,US drone strike,Confirmed,1,1,1,3,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM234,
Shabwah,4/7/16,Musaina,Shabwa,US drone strike,Confirmed,1,1,1,2,3,0,0,0,0,0,1,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM235,
??,8/7/16,Unknown,Central Yemen,US drone strike,Confirmed,1,1,1,1,1,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM236,
Ma'rib,10/7/16,Jabul,Mareb,US drone strike,Possible,1,1,1,0,0,0,0,0,0,4,4,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM237,
Shabwah,16/07/2016,Al Uqlah,Shabwa,US drone strike,Confirmed,1,1,1,2,4,0,0,0,0,0,2,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM238,
Shabwah,4/8/16,Azzan,Shabwa,US drone strike,Confirmed,1,1,1,2,4,0,0,0,0,2,4,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM239,
Shabwah,24/08/2016,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,4,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM240,
Shabwah,30/08/2016,Unknown,Shabwa,US air or drone strike ,Confirmed,1,1,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM241,
Shabwah,4/9/16,Unknown,Shabwa,US air or drone strike,Confirmed,1,1,1,6,9,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM242,
Al Bayda',13/09/2016,Radaa area,Bayda ,US drone strike ,Confirmed,1,1,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM243,
Ma'rib,20/09/2016,Wadi Abida,Marib,"US drone or air strike",Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM244,
Al Bayda',22/09/2016,Sawmaa district,Bayda,US air or drone strike,Confirmed,1,1,1,2,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM245,
Ma'rib,23/09/2016,Unknown,Mareb,US drone strike,Confirmed,1,1,1,3,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM246,
Al Bayda',29/09/2016,Unknown,Bayda,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM247,
Shabwah,6/10/16,Unknown,Shabwah,US air or drone strike,Confirmed,0,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM248,
??,12/10/16,North of the Bab el-Mandeb strait,-,US cruise missle strike,Confirmed,0,3,3,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM248,
Shabwah,18/10/2016,Unknown,Shabwah,US air or drone strike,Confirmed,1,1,1,3,8,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM249,
Ma'rib,21/10/2016,Unknown,Marib,US air or drone strike,Confirmed,0,1,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM250,
Al Bayda',21/11/2016,Unknown,Bayda,US air or drone strike,Confirmed,1,1,1,1,1,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM251,
Al Bayda',24/11/2016,Sawmaah,Bayda,US air or drone strike,Confirmed,1,1,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/18/yemen-reported-us-covert-actions-2016/#YEM252,
