Region,Date,Village/local area,X,Y,District,Province,Type of attack,Reportedly drone?,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link
Kunar,29/10/2015,Unknown,375,130,Lal Pura,Kunar,US strike,1,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#107
Kunar,31/10/2015,"Choni Sar area, Shultan valley",375,130,Shigal,Kunar,US strike,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#108
Kunar,31/10/2016,Unknown,375,130,Dangam and Ghaziabad,Kunar,US strike,0,9,9,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#288
Kunduz,2/10/15,Kunduz city,330,80,Kunduz city,Kunduz,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#93
Kunduz,2/10/15,Kunduz city,330,80,Kunduz city,Kunduz,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#94
Kunduz,3/10/15,Kunduz city,330,80,Kunduz city,Kunduz,US strike,0,42,42,42,42,3,3,27,27,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#95
Kunduz,5/10/15,Kunduz city,330,80,Kunduz city,Kunduz,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#96
Kunduz,3/10/16,Unknown,330,80,Kunduz city,Kunduz,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#278
Kunduz,3/11/16,Boz village,330,80,Kunduz city,Kunduz,US strike,0,58,59,32,33,20,20,53,62,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#289
Kunduz,9/5/16,Nahr Sufi,330,80,Chahar Dara,Kunduz,US strike,1,12,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#195
Kunduz,21/06/2016,Moghul Qeshlag,330,80,Imam Sahib,Kunduz,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#220
Kunduz,22/05/2016,Asqalan,330,80,Kunduz city,Kunduz,US strike,1,13,13,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#203
Kunduz,23/10/2016,Unknown ,330,80,Kunduz,Kunduz,US strike ,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#284
Kunduz,24/08/2016,Unknown,330,80,Kunduz,Kunduz,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#261
Kunduz,25/06/2016,Sarak Payin,330,80,Chahar Dara,Kunduz,US strike,1,7,16,0,15,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#223
Kunduz,26/02/2017,Unknown,330,80,Dashti Archi,Kunduz,US strike ,1,5,9,0,0,0,0,0,0,
Kunduz,27/06/2016,Unknown,330,80,Chahar Dara,Kunduz,US strike,1,4,16,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#225
Kunduz,28/06/2016,Hazrat Sultan,330,80,Kunduz city,Kunduz,US strike,1,14,14,0,0,0,0,8,8,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#226
Kunduz,29/06/2016,Unknown,330,80,Gortipa,Kunduz,US strike,1,10,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#227
Kunduz,29/09/2015,Kunduz airport,330,80,Kunduz city,Kunduz,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#87
