Region,Date,Village/local area,X,Y,District,Province,Type of attack,Reportedly drone?,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link
Nangarhar,26/07/2015,Chaknawr,360,145,Lal Pura,Nangarhar,US strike,1,5,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#61
Nangarhar,26/07/2016,Unknown,360,145,Achin,Nangarhar,US strike,0,1,1,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#255
Nangarhar,26/08/2015,Kotikhil,360,145,"Shirzad",Nangarhar,US strike,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#72
Nangarhar,27/02/2017,Sangini ,360,145,Charparhar,Nangarhar,US strike ,1,2,2,0,0,0,0,3,3,
Nangarhar,27/07/2016,Pekhi Kali,360,145,Achin,Nangarhar,US strike,1,6,6,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#251
Nangarhar,27/07/2016,Milwa Kand,360,145,Nazian,Nangarhar,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#252
Nangarhar,27/10/2015,Syah Cho,360,145,Achin,Nangarhar,US strike,0,11,12,0,1,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#104
Nangarhar,27/11/2016,Gorgori,360,145,Haska Mena,Nangarhar,US strike,1,7,7,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#297
Nangarhar,27/12/2016,Langar Kandaw,360,145,Achin,Nangarhar,US strike ,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#303
Nangarhar,28/01/2017,Unknown,360,145,Nangarhar,Nangarhar,US strike,1,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/310
Nangarhar,28/02/2016,Mamand Dara and Pekha,360,145,Achin,Nangarhar,US strike,1,7,9,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#174
Nangarhar,28/04/2016,Narai Obam,360,145,Haska Mena,Nangarhar,US strike,1,15,15,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#193
Nangarhar,28/12/2016,Papin,360,145,Haska Mena,Nangarhar,US strike ,1,2,2,0,0,0,0,1,1,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#304
Nangarhar,29/05/2016,Unknown,360,145,De Bala,Nangarhar,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#210
Nangarhar,29/05/2016,Kangari Kando,360,145,Haska Mena,Nangarhar,US strike,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#208
Nangarhar,29/06/2016,Unknown,360,145,Dasht e Archi,Nangarhar,US strike,1,10,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#228
Nangarhar,29/07/2015,Harun Baba,360,145,Haska Mina and Pachiragam,Nangarhar,US strike,1,12,20,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#62
Nangarhar,29/10/2015,Unknown,360,145,Nazyan,Nangarhar,US strike,1,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#105
Nangarhar,30/04/2016,Unknown,360,145,Chaparhar and Haska Mina,Nangarhar,US strike,1,38,38,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#194
Nangarhar,30/06/2015,Machi Megi,360,145,Lal Pura,Nangarhar,US strike,1,4,14,0,0,0,0,12,12,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#43
Nangarhar,30/08/2016,Unknown,360,145,Lal Pura,Nangarhar,US strike,0,6,6,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#262
Nangarhar,30/10/2016,Janjal Shaga and Shaistagar,360,145,Achin,Nangarhar,US helicopter strikes,0,11,11,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#287
Nangarhar,31/08/2016,Unknown,360,145,Deh Bala,Nangarhar,US strike,0,17,17,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#263
Nangarhar ,15/12/2016,Pekha,360,145,Achin,Nangarhar ,US strike ,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#300
Nangarhar ,18/06/2016,"Dara e Mohmand, Mazdaki, Abdulkhail",360,145,Achin,Nangarhar,US strike,1,23,27,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#219
Nangarhar ,18/06/2016,Taraki,360,145,Dasht e Archi,Nangarhar,US strike ,1,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#218
Nangarhar ,18/11/2016,Lagharjoi area,360,145,Kot ,Nangarhar ,US strike,1,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#293
Nangarhar ,20/01/2017,Bandr Khor ,360,145,Achin,Nangarhar ,US strike ,1,4,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/309
Nangarhar ,20/02/2017,Bandar,360,145,Achin,Nangarhar ,US strike ,1,12,12,0,0,0,0,0,0,
Nangarhar ,22/09/2016,Dastandar,360,145,Kot ,Nangarhar ,US strike ,0,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#270
Nangarhar ,22/10/2016,Koz-Pachir village ,360,145, Pachiragam,Nangarhar ,US strike ,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#283
Nangarhar ,27/01/2017,Bandar ,360,145,Achin,Nangarhar ,US strike ,1,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/311
Nangarhar ,28/09/2016,Unknown,360,145,Achin ,Nangarhar ,US strike,1,18,21,15,15,0,0,13,27,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#275
Nangarhar ,28/10/2016,Unknown,360,145,Sherzad,Nangarhar ,US strike ,0,2,4,2,4,0,0,0,30,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#285
Nangarhar ,28/12/2016,Gandi-Bagh,360,145,Charparhar,Nangarhar ,US strike ,1,3,3,0,0,0,0,7,7,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#305
Nuristan,20/06/2015,Unknown,367,118,"Kanish",Nuristan,US strike,1,4,9,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#39
Nuristan,26/06/2015,"Unknown",367,118,Nuristan,Nuristan,US strike,0,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#40
Nuristan,27/05/2015,Unknown,367,118,Want Waigal,Nuristan,US strike,1,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#23
Nuristan,27/06/2015,Mardish,367,118,Want Waigal,Nuristan,US strike,1,5,5,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#42
Paktika,3/1/15,Unknown,330,190,Gayan,Paktika,US strike,0,18,18,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#3
Paktika,10/9/15,Unknown,330,190,Gomal,Paktika,US strike,1,5,15,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#85
Paktika,11/6/15,Maroufkhil,330,190,Khushamand,Paktika,US strike,1,30,30,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#33
Paktika,11/6/15,Jarkani,330,190,Yousufkhil,Paktika,US strike,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#34
Paktika,11/7/15,"Unknown",330,190,Bermal,Paktika,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#60
Paktika,1/2/16,Unknown,330,190,Bermal or Gomal,Paktika,US strike,1,19,19,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#164
Paktika,2/6/16,Kharkot,330,190,Gayan,Paktika,US strike,1,10,10,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#212
Paktika,4/2/16,"Daman, Marghay",330,190,Bermal,Paktika,US strike,1,10,15,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#166
Paktika,7/4/16,Nematabad,330,190,Gomal,Paktika,US strike,1,14,21,14,21,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#187
Paktika,8/1/16,Unknown,330,190,Bermal,Paktika,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#144
Paktika,8/6/16,Unknown,330,190,Sar Rawza,Paktika,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#213
Paktika,10/1/16,Unknown,330,190,Bermal,Paktika,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#147
Paktika,10/1/16,Unknown,330,190,Bermal,Paktika,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#148
Paktika,11/2/16,Unknown,330,190,Gomal,Paktika,US strike,1,13,18,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#175
Paktika,12/8/16,Unknown,330,190,Khoshamand,Paktika,US strike,1,20,25,0,5,0,4,25,25,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#256
Paktika,17/02/2016,Raghi,330,190,Gomal,Paktika,US strike,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#176
Paktika,18/02/2016,Raghi,330,190,Gomal,PAktika,US strike,1,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#177
Paktika,18/03/2017,Unknown ,330,190,Paktika,Paktika ,US strike,1,2,2,0,0,0,0,0,0,
Paktika,19/03/2017,Unknown ,330,190,Paktika,Paktika ,US strike,1,4,4,0,0,0,0,0,0,
Paktika,24/09/2016,Unknown,330,190,Bermal,Paktika,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#273
Paktika,25/09/2016,Unknown,330,190,Bermal,Paktika ,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#274
Paktika,26/02/2016,Dadul,330,190,Gomal,Paktika,US strike,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#173
Paktika,27/06/2015,"Unknown",330,190,Paktika,Paktika,US strike,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#41
Paktya,19/11/2016,Shah Karez,340,160,Zumat,Paktia,US strike,1,1,1,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#294
Paktya,26/03/2015,Unknown,340,160,Zurmat,Paktia,US strike,0,0,0,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#128
Paktya,29/08/2016,Unknown,340,160,Jani Khil,Paktia,US strike,1,8,120,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#259
Parwan,19/10/2016,Unknown ,330,125,Seyagerd,Parwan ,US strike,1,8,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#282
Parwan,25/03/2015,Unknown,330,125,Sia Gird,Parwan,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#127
Uruzgan,9/9/16,Tarin Kot,270,182,Tarin Kot,Uruzgan,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#267
Uruzgan,17/09/2016,Unknown,270,182,Uruzgan,Uruzgan,US strike,0,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#269
Uruzgan,18/09/2016,Saki,270,182,Tarin Kot,Uruzgan,US strike,0,7,8,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#268
Wardak,15/06/2015,Unknown,320,145,Chak e Wardak,Wardak,US strike,0,2,2,2,2,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#131
Wardak,16/07/2015,Unknown,320,145,Tor Khail,Wardak,US strike,1,8,16,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#57
Wardak,17/08/2015,Unknown,320,145,Chak,Wardak,US strike,1,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#69
Wardak,17/08/2015,Unknown,320,145,Day Mirdad,Wardak,US strike,1,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#68
Wardak,29/05/2016,Unknown,320,145,Sayedabad,Maidan Wardak,US strike,1,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#211
Zabul,17/05/2016,Unknown,300,200,Shahjoy,Zabul,US strike,1,5,5,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#199
Zabul,22/01/2016,Khawajakhel,300,200,Arghandab,Zabul,US strike,1,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#154
