Region,Date,Location,X,Y,Area,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,link,Notes
North Waziristan Agency,6/10/10,Hurmuz,320,108,North Waziristan,3,5,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob141,
North Waziristan Agency,6/10/10,Miram Shah,320,108,North Waziristan,5,11,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob140,
North Waziristan Agency,6/12/10,Khushali,320,108,North Waziristan,3,5,0,2,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob167,
North Waziristan Agency,6/12/10,Kushali,320,108,North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob168,
North Waziristan Agency,7/10/10,Khaisoori,320,108,North Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob142,
North Waziristan Agency,7/11/10,Datta Khel,320,108,North Waziristan,3,6,0,0,0,0,1,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob158,
North Waziristan Agency,7/11/10,Ghulam Khan,320,108,North Waziristan,8,9,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob157,
North Waziristan Agency,8/1/10,Tappi,320,108,North Waziristan,5,6,5,5,1,1,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob57,
North Waziristan Agency,8/3/10,Miram Shah,320,108,North Waziristan,9,9,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob74,
North Waziristan Agency,8/9/10,Ambar Shaga,320,108,North Waziristan,3,4,0,4,0,0,1,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob119,
North Waziristan Agency,8/9/10,Danda Darpakhel,320,108,North Waziristan,5,10,4,4,4,4,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob118,
North Waziristan Agency,8/9/10,Danda Darpakhel,320,108,North Waziristan,10,10,0,0,0,0,2,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob120,
North Waziristan Agency,8/10/10,Char Khel,320,108,North Waziristan,5,8,0,4,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob144,
North Waziristan Agency,8/10/10,Mohammad Khel,320,108,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob143,
North Waziristan Agency,9/1/10,Ismail Khel,320,108,North Waziristan,4,5,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob58,
North Waziristan Agency,9/1/10,Shaktoi,320,108,North Waziristan,15,18,0,0,0,0,7,14,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob59,
North Waziristan Agency,9/5/10,Datta Khel,320,108,North Waziristan,5,10,0,4,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob90,
North Waziristan Agency,9/9/10,Miram Shah,320,108,North Waziristan,3,6,0,0,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob121,
North Waziristan Agency,10/3/10,Mizar Madakhel,320,108,North Waziristan,7,8,0,0,0,0,12,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob75,
North Waziristan Agency,10/3/10,Mizar Madakhel,320,108,North Waziristan,7,7,4,7,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob76,
North Waziristan Agency,10/6/10,Norak,320,108,North Waziristan,2,7,4,4,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob96,
North Waziristan Agency,10/10/10,Shiva,320,108,North Waziristan,4,9,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob145,
North Waziristan Agency,10/12/10,Khadar Khel,320,108,North Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob169,
North Waziristan Agency,11/5/10,Datta Khel,320,108,North Waziristan,8,14,0,4,0,0,12,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob91,
North Waziristan Agency,11/5/10,Gurwak,320,108,North Waziristan,7,15,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob92,
North Waziristan Agency,11/6/10,Maizer,320,108,North Waziristan,10,15,0,0,0,0,10,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob97,
North Waziristan Agency,11/11/10,Ghulam Khan,320,108,North Waziristan,5,8,0,0,0,0,5,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob159,
North Waziristan Agency,12/4/10,Boya,320,108,North Waziristan,13,13,8,13,2,2,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob84,
North Waziristan Agency,12/9/10,Newey Adda,320,108,North Waziristan,5,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob122,
North Waziristan Agency,1/1/11,Boya,320,108,North Waziristan,4,4,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob184,
North Waziristan Agency,1/1/11,Datta Khel,320,108,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob183,
North Waziristan Agency,1/1/11,Mandi Khel,320,108,North Waziristan,8,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob181,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#
North Waziristan Agency,1/1/11,Mandi Khel,320,108,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob182,
North Waziristan Agency,2/8/11,Qutab Khel,320,108,North Waziristan,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob234,
North Waziristan Agency,3/11/11,"Sarai Darpa Khel, Miranshah",320,108,North Waziristan,2,3,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob252,
North Waziristan Agency,5/7/11,Mir Ali,320,108,North Waziristan,4,6,0,3,0,2,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob226,
North Waziristan Agency,6/5/11,Dwa Tooe,320,108,North Waziristan,7,18,6,6,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob205,
North Waziristan Agency,7/1/11,Ghar Laley,320,108,North Waziristan,1,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob185,
North Waziristan Agency,9/3/11,Datta Khel,320,108,North Waziristan,5,5,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob195,
North Waziristan Agency,10/8/11,Miram Shah,320,108,North Waziristan,8,25,0,0,0,0,3,8,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob235,
North Waziristan Agency,11/3/11,Ghoroski,320,108,North Waziristan,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob197,
North Waziristan Agency,11/3/11,Khesoor,320,108,North Waziristan,4,12,5,5,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob196,
North Waziristan Agency,11/7/11,Gurwak,320,108,North Waziristan,4,12,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob227,
North Waziristan Agency,11/9/11,Hisokhel,320,108,North Waziristan,1,5,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob239,
North Waziristan Agency,12/1/11,Haider Khel,320,108,North Waziristan,3,6,0,0,0,0,2,15,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob186,
North Waziristan Agency,12/5/11,Datta Khel,320,108,North Waziristan,5,8,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob207,
North Waziristan Agency,12/7/11,Datta Khel,320,108,North Waziristan,13,15,0,4,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob230,
North Waziristan Agency,12/7/11,Datta Khel,320,108,North Waziristan,1,9,1,1,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob231,
North Waziristan Agency,12/7/11,Gurwak,320,108,North Waziristan,12,25,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob228,
North Waziristan Agency,1/7/12,Dre Nishter/Shawal,320,108,North Waziristan,6,9,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob282,
North Waziristan Agency,1/9/12,Degan,320,108,North Waziristan,4,6,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob293,
North Waziristan Agency,1/10/12,Khadar Khel,320,108,North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob296,
North Waziristan Agency,4/6/12,"Khushali, Tehsil Mir Ali",320,108,North Waziristan,14,18,0,6,0,0,3,6,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob278,
North Waziristan Agency,5/5/12,"Guldar Kot, Dre Nishtar area",320,108,North Waziristan,8,10,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob270,
North Waziristan Agency,6/7/12,Maizer,320,108,North Waziristan,13,24,3,18,0,0,2,22,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob283,
North Waziristan Agency,6/12/12,"Noorak Mubarak Shahi area, Tehsil Mir Ali",320,108,North Waziristan,2,11,1,1,0,0,1,6,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob302,
North Waziristan Agency,8/2/12,Miranshah,320,108,North Waziristan,9,10,0,0,0,0,2,12,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob260,
North Waziristan Agency,9/2/12,Miranshah,320,108,North Waziristan,3,8,0,3,0,1,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob261,
North Waziristan Agency,9/12/12,"Tabbi Tor Khel, Tehisl Ghulam Khan",320,108,North Waziristan,2,4,0,3,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob303,
North Waziristan Agency,10/1/12,Miram Shah,320,108,North Waziristan,1,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob256,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#
North Waziristan Agency,10/10/12,"Hurmaz, Teshil Mir Ali",320,108,North Waziristan,3,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob297,
North Waziristan Agency,12/1/12,Datta Khel,320,108,North Waziristan,5,9,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob257,
North Waziristan Agency,1/11/13,Dandi Darpakhel,320,108,North Waziristan,4,7,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob329,
North Waziristan Agency,3/1/13,"Ghundi Killi, Tappi area, Tehsil Miranshah",320,108,North Waziristan,3,6,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob307,
North Waziristan Agency,3/7/13,"Shui Khel Mandi, Tehsil Shawal",320,108,North Waziristan,16,18,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob320,
North Waziristan Agency,6/2/13,Spinwam,320,108,North Waziristan,3,5,0,2,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob312,
North Waziristan Agency,6/9/13,"Tabi, Tehsil Ghulam Khan",320,108,North Waziristan,5,7,0,0,0,0,3,7,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob324,
North Waziristan Agency,7/6/13,"Shui Khel Mandi, Tehsil Shawal",320,108,North Waziristan,7,11,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob319,
North Waziristan Agency,8/1/13,"Haiderkhel, near Mir Ali",320,108,North Waziristan,4,9,0,2,0,1,1,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob309,
North Waziristan Agency,8/1/13,"Malangan Hassokhel, Tehsil Mir Ali",320,108,North Waziristan,0,9,0,0,0,0,1,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob310,
